id,FIPS,x,y,POP10
1267,42051.0,1372540.4650081878,236124.50679998184,3567.0
1268,42051.0,1372540.465008188,226124.50679997943,12648.0
1269,42051.0,1372540.4650081885,216124.50679997986,8215.0
1270,42051.0,1372540.465008188,206124.5067999803,3576.0
1335,,1381200.719046031,621124.506799988,0.0
1336,,1381200.7190460304,611124.5067999883,1941.0
1337,36063.0,1381200.7190460307,601124.5067999874,3313.0
1338,36063.0,1381200.719046031,591124.5067999879,6463.0
1339,36063.0,1381200.7190460311,581124.5067999868,42774.0
1340,36029.0,1381200.7190460311,571124.5067999887,84958.0
1341,,1381200.7190460311,561124.5067999878,51146.0
1342,,1381200.7190460316,551124.5067999881,0.0
1343,,1381200.719046031,541124.5067999858,12352.0
1344,36029.0,1381200.7190460316,531124.5067999861,7450.0
1345,36029.0,1381200.7190460304,521124.50679998944,2152.0
1346,36009.0,1381200.7190460316,511124.506799987,1482.0
1347,36013.0,1381200.719046031,501124.506799986,1580.0
1348,36013.0,1381200.7190460316,491124.50679998647,1469.0
1349,36013.0,1381200.7190460314,481124.5067999841,1935.0
1350,36013.0,1381200.7190460311,471124.5067999859,3979.0
1351,36013.0,1381200.7190460311,461124.50679998775,2187.0
1352,42123.0,1381200.7190460316,451124.50679998676,2758.0
1353,42123.0,1381200.7190460316,441124.5067999844,6069.0
1354,42123.0,1381200.719046032,431124.5067999848,211.0
1355,42123.0,1381200.7190460316,421124.5067999852,55.0
1356,42053.0,1381200.7190460318,411124.50679998426,231.0
1357,42053.0,1381200.7190460314,401124.50679998467,61.0
1358,42031.0,1381200.7190460316,391124.5067999837,1365.0
1359,42031.0,1381200.7190460311,381124.5067999841,1318.0
1360,42031.0,1381200.719046032,371124.5067999831,10010.0
1361,42031.0,1381200.7190460316,361124.50679998356,1442.0
1362,42031.0,1381200.7190460318,351124.50679998397,967.0
1363,42005.0,1381200.7190460314,341124.50679998443,1195.0
1364,42005.0,1381200.7190460325,331124.50679998344,2179.0
1365,42005.0,1381200.7190460323,321124.506799981,7509.0
1366,42005.0,1381200.719046032,311124.50679998286,1872.0
1367,42005.0,1381200.7190460318,301124.50679998327,13197.0
1368,42129.0,1381200.7190460318,291124.5067999809,3654.0
1369,42129.0,1381200.7190460318,281124.5067999813,10740.0
1370,42129.0,1381200.7190460323,271124.50679998175,48261.0
1371,42129.0,1381200.719046032,261124.50679998077,13897.0
1372,42129.0,1381200.7190460328,251124.50679997978,10358.0
1373,42051.0,1381200.7190460318,241124.5067999802,7006.0
1374,42051.0,1381200.7190460323,231124.50679998062,7897.0
1375,42051.0,1381200.7190460318,221124.50679997966,21047.0
1376,42051.0,1381200.7190460328,211124.50679998007,1020.0
1377,,1381200.7190460323,201124.5067999805,49.0
1441,,1389860.9730838756,616124.5067999896,1046.0
1442,36063.0,1389860.9730838754,606124.5067999886,6517.0
1443,36063.0,1389860.9730838756,596124.5067999876,10466.0
1444,36063.0,1389860.9730838751,586124.5067999895,8026.0
1445,36029.0,1389860.9730838756,576124.5067999884,82029.0
1446,36029.0,1389860.9730838756,566124.5067999889,209626.0
1447,36029.0,1389860.9730838758,556124.5067999865,83008.0
1448,36029.0,1389860.9730838756,546124.5067999855,37593.0
1449,36029.0,1389860.9730838763,536124.5067999874,7304.0
1450,36029.0,1389860.973083876,526124.5067999878,3103.0
1451,36029.0,1389860.9730838756,516124.5067999868,8064.0
1452,36009.0,1389860.9730838756,506124.50679998583,1200.0
1453,36009.0,1389860.9730838765,496124.50679998624,1051.0
1454,36009.0,1389860.9730838756,486124.50679998525,1527.0
1455,36009.0,1389860.9730838756,476124.5067999857,2134.0
1456,36009.0,1389860.973083876,466124.50679998327,725.0
1457,42123.0,1389860.9730838765,456124.5067999865,1256.0
1458,42123.0,1389860.9730838765,446124.50679998554,10906.0
1459,42123.0,1389860.9730838756,436124.506799986,1592.0
1460,42123.0,1389860.9730838751,426124.506799985,216.0
1461,42053.0,1389860.9730838756,416124.5067999826,252.0
1462,42053.0,1389860.9730838768,406124.50679998304,67.0
1463,42053.0,1389860.9730838768,396124.5067999849,640.0
1464,42031.0,1389860.9730838756,386124.50679998245,498.0
1465,42031.0,1389860.973083876,376124.5067999829,554.0
1466,42031.0,1389860.973083877,366124.5067999833,1708.0
1467,42031.0,1389860.9730838768,356124.50679998234,1629.0
1468,42005.0,1389860.9730838765,346124.50679997995,3926.0
1469,42005.0,1389860.9730838772,336124.5067999832,904.0
1470,42005.0,1389860.9730838768,326124.5067999808,2747.0
1471,42005.0,1389860.973083877,316124.50679998123,2464.0
1472,42005.0,1389860.9730838768,306124.50679998164,1629.0
1473,42063.0,1389860.9730838765,296124.5067999849,3207.0
1474,42129.0,1389860.973083876,286124.5067999825,4188.0
1475,42129.0,1389860.9730838765,276124.5067999815,5714.0
1476,42129.0,1389860.9730838772,266124.50679998053,18835.0
1477,42129.0,1389860.973083877,256124.50679997957,13306.0
1478,42051.0,1389860.9730838768,246124.5067999814,8119.0
1479,42051.0,1389860.9730838763,236124.50679998042,13070.0
1480,42051.0,1389860.9730838775,226124.50679997943,448.0
1481,42051.0,1389860.973083878,216124.50679997844,2355.0
1482,42051.0,1389860.973083877,206124.5067999817,416.0
1547,,1398521.22712172,621124.506799988,132.0
1548,36063.0,1398521.227121719,611124.5067999898,2475.0
1549,36063.0,1398521.2271217194,601124.5067999874,5398.0
1550,36063.0,1398521.2271217199,591124.5067999893,30886.0
1551,36029.0,1398521.2271217199,581124.5067999868,24832.0
1552,36029.0,1398521.2271217206,571124.5067999859,66546.0
1553,36029.0,1398521.2271217199,561124.5067999878,73550.0
1554,36029.0,1398521.2271217192,551124.5067999895,44930.0
1555,36029.0,1398521.2271217199,541124.5067999872,12996.0
1556,36029.0,1398521.2271217199,531124.5067999861,2351.0
1557,36029.0,1398521.2271217199,521124.506799988,1523.0
1558,36009.0,1398521.2271217199,511124.5067999856,733.0
1559,36009.0,1398521.2271217196,501124.506799986,1884.0
1560,36009.0,1398521.2271217194,491124.50679998787,1297.0
1561,36009.0,1398521.2271217196,481124.5067999855,1907.0
1562,36009.0,1398521.2271217199,471124.50679998734,465.0
1563,42123.0,1398521.2271217194,461124.50679998635,123.0
1564,42123.0,1398521.2271217196,451124.50679998536,196.0
1565,42123.0,1398521.2271217194,441124.5067999858,38.0
1566,42123.0,1398521.2271217203,431124.5067999848,2042.0
1567,42123.0,1398521.2271217196,421124.50679998664,234.0
1568,42053.0,1398521.2271217203,411124.50679998426,124.0
1569,42053.0,1398521.2271217206,401124.50679998327,3220.0
1570,42053.0,1398521.2271217203,391124.5067999851,358.0
1571,42065.0,1398521.22712172,381124.5067999827,892.0
1572,42065.0,1398521.2271217206,371124.5067999831,2273.0
1573,42065.0,1398521.2271217208,361124.50679998496,1430.0
1574,42065.0,1398521.2271217203,351124.50679998257,1158.0
1575,42005.0,1398521.227121721,341124.506799983,1222.0
1576,42005.0,1398521.2271217203,331124.506799982,1952.0
1577,42005.0,1398521.2271217206,321124.50679998385,1376.0
1578,42063.0,1398521.2271217206,311124.50679998146,2487.0
