FIPS,State,County,X,Y,POP_Total,Diabetes_count,Diabetes_per,Obesity,Access_Excercise,Physical_Inactivity,PCP_rate,Food_Env_Index,SVI,Urban_Rural
42053,Pennsylvania,Forest County,1381551.31,2178527.873,7221.8,540,7.22,20.26,90.2,15.5,46.8,7.4,0.5617,Rural
42055,Pennsylvania,Franklin County,1538800.032,2027269.531,154716.8,12052,8.46,32.5,67.6,20.14,61.0,8.2,0.3154,Urban
42057,Pennsylvania,Fulton County,1506294.912,2020785.076,14556.8,1115,7.7,23.4,51.2,16.58,20.8,8.2,0.1451,Rural
42059,Pennsylvania,Greene County,1331673.938,1981403.637,36465.4,2699,7.96,29.04,47.6,19.78,43.8,7.7,0.3482,Rural
42061,Pennsylvania,Huntingdon County,1506866.668,2076919.913,45205.4,3634,8.38,23.76,64.8,19.02,35.0,8.3,0.3332,Urban
42063,Pennsylvania,Indiana County,1410676.886,2085864.825,84711.0,6025,7.78,24.22,60.0,20.78,53.2,7.8,0.5366,Urban
42065,Pennsylvania,Jefferson County,1408466.268,2139659.345,43610.2,3975,9.42,30.32,52.6,22.56,44.6,8.2,0.2632,Rural
42067,Pennsylvania,Juniata County,1552118.755,2098795.276,24692.6,1631,6.98,21.98,44.4,17.92,20.8,8.2,0.4351,Rural
42069,Pennsylvania,Lackawanna County,1678063.195,2228579.147,210307.6,16055,8.16,27.58,78.0,21.68,83.8,7.9,0.5449,Urban
42071,Pennsylvania,Lancaster County,1658497.002,2064716.084,543375.2,40261,8.56,29.48,72.0,18.46,72.2,8.4,0.5586,Urban
42073,Pennsylvania,Lawrence County,1301449.84,2105533.834,86228.4,7122,8.3,31.26,74.4,23.72,40.6,7.3,0.4787,Urban
42075,Pennsylvania,Lebanon County,1633708.275,2096683.059,140677.4,11145,8.72,31.32,80.4,17.76,59.0,8.5,0.62,Urban
42077,Pennsylvania,Lehigh County,1699112.311,2138770.953,367572.2,29182,9.32,32.18,82.0,18.66,102.6,8.3,0.7384,Urban
42079,Pennsylvania,Luzerne County,1653351.821,2193500.035,317154.2,26387,8.8,29.56,73.0,24.52,79.0,7.8,0.6346,Urban
42081,Pennsylvania,Lycoming County,1561950.648,2193635.395,113852.2,8926,8.46,31.9,61.2,20.52,75.0,7.6,0.4653,Urban
42083,Pennsylvania,Mckean County,1429885.045,2220922.964,41027.8,3206,8.26,29.28,72.4,19.1,54.8,8.1,0.4357,Urban
42085,Pennsylvania,Mercer County,1302019.114,2140915.863,110663.0,9272,8.46,29.68,77.0,20.72,63.4,7.6,0.5496,Urban
42087,Pennsylvania,Mifflin County,1532755.461,2104065.458,46230.8,4173,9.34,28.44,59.6,20.9,52.6,8.0,0.4752,Urban
42089,Pennsylvania,Monroe County,1709056.974,2192003.055,168815.2,12956,8.32,29.42,76.0,21.16,41.8,8.0,0.3994,Urban
42091,Pennsylvania,Montgomery County,1727248.17,2098844.026,828237.6,53281,7.16,25.56,94.0,16.44,138.6,8.8,0.2142,Urban
42093,Pennsylvania,Montour County,1602149.321,2165666.682,18225.4,1330,7.54,22.4,58.2,19.78,536.6,8.4,0.3472,Urban
42095,Pennsylvania,Northampton County,1718996.522,2159377.207,304336.6,24092,8.58,28.9,84.0,22.32,83.2,8.5,0.3517,Urban
42097,Pennsylvania,Northumberland County,1602057.96,2145493.006,91350.8,7783,8.7,34.8,68.2,22.62,44.6,7.9,0.4262,Urban
42099,Pennsylvania,Perry County,1566640.722,2086593.725,46114.0,3343,7.7,24.94,50.8,19.96,26.4,8.6,0.1365,Urban
42101,Pennsylvania,Philadelphia County,1751441.689,2080937.922,1579084.8,136227,11.22,29.36,99.4,24.44,71.6,7.2,0.9484,Urban
42103,Pennsylvania,Pike County,1727250.264,2227452.264,55813.4,4672,7.94,26.0,75.0,22.08,29.8,8.5,0.2123,Urban
42105,Pennsylvania,Potter County,1485798.53,2224296.623,16657.6,1290,7.46,22.16,41.2,17.06,42.0,7.7,0.4803,Rural
42107,Pennsylvania,Schuylkill County,1645709.504,2137970.773,142055.4,11858,8.58,29.28,68.2,21.1,54.0,8.2,0.4316,Urban
42109,Pennsylvania,Snyder County,1574275.135,2130545.407,40499.6,2824,7.7,28.9,59.8,20.26,43.0,8.4,0.2438,Urban
42111,Pennsylvania,Somerset County,1429094.609,2011809.21,73975.4,6111,8.1,34.28,67.0,22.68,38.8,7.9,0.3377,Urban
42113,Pennsylvania,Sullivan County,1604588.651,2214031.262,6055.2,518,7.12,20.22,36.8,15.92,32.6,7.3,0.346,Rural
42115,Pennsylvania,Susquehanna County,1653442.064,2267301.476,40554.0,3378,7.84,28.7,34.0,21.28,37.0,8.3,0.2218,Rural
42117,Pennsylvania,Tioga County,1537131.813,2237598.109,40799.0,3206,7.94,29.1,50.0,21.28,47.4,7.8,0.3011,Rural
42119,Pennsylvania,Union County,1570613.582,2151895.609,44832.4,3077,7.84,27.62,75.4,18.3,93.2,7.6,0.3759,Urban
42121,Pennsylvania,Venango County,1341070.721,2158752.11,51321.2,5052,9.58,30.02,64.0,20.34,56.2,8.0,0.3651,Urban
42123,Pennsylvania,Warren County,1372531.962,2211179.994,39456.8,3120,7.62,28.32,74.2,18.88,47.6,8.1,0.1477,Urban
42125,Pennsylvania,Washington County,1323351.94,2018108.583,207258.6,17330,8.62,32.54,72.2,19.96,78.6,8.0,0.1859,Urban
42127,Pennsylvania,Wayne County,1697727.853,2257139.2,51143.0,4200,7.66,24.38,56.2,19.2,50.2,8.5,0.332,Rural
