x,y,Aspect,ELEV,FRG,K_Factor,MAP,MAT,NDVI,NLCD,Silt_Clay,Slope,TPI,NLCD,SOC
-1045285,1463795,163.8812866,2080.27832,3,0.142000005,272.1738892,9.42539978,0.164125919,6,41.59999847,2.595677853,0.374552459,1,2.15144341644234
34715,1703795,165.1105042,351.3273621,2,0.370000005,955.7138672,12.5280304,0.683451593,7,80.66363525,1.265570521,0.621448338,3,10.0576152756224
-1105285,1173795,220.550415,2343.030518,1,0.183699995,652.0076904,10.56184959,0.514098704,4,50.74100113,14.03033924,2.173302412,4,8.85270255812781
-965285,1113795,149.5470428,1223.509399,2,0.409393936,250.5829163,16.63828278,0.165030077,5,56.60404205,0.849813104,-0.095353194,2,0.973572341496849
-615285,1983795,134.9272766,1275.488037,2,0.229795918,411.7048035,9.438877106,0.381345749,7,47.52857208,1.019698143,0.332343102,3,4.1363369218211
-365285,1823795,160.875946,797.9720459,2,0.319999993,548.4389038,11.4042387,0.492905885,6,80.30000305,2.63085866,-0.783810973,1,6.3864540033554
-1035285,2433795,143.272995,2028.949341,4,0.319999993,383.0163879,5.67140007,0.458184004,5,57.34400177,6.102178097,2.081993341,2,8.88695778330188
-1095285,1503795,164.2650452,1864.132568,4,0.369100004,221.6461945,10.42494965,0.137387171,6,42.59999847,2.016875267,-0.773472667,1,2.04902267795795
-705285,2233795,183.7938538,1593.918945,2,0.220204085,395.8167419,7.187346935,0.409436762,5,28.12449074,2.782079697,0.971449852,2,5.61363809149492
-485285,1813795,149.1922607,1109.614258,2,0.319999993,489.8373718,10.75061226,0.404695809,7,88.27754974,1.253633499,0.163102686,3,6.17066645334214
-1195285,1043795,204.2849731,1550.840454,3,0.261200011,385.8482971,14.85669994,0.224607959,5,58.06399918,6.698084831,2.872982979,2,2.68885874079529
-985285,1643795,175.5756836,2527.503906,3,0.314799994,694.1011963,5.372550011,0.728095055,4,58.52500153,13.88551426,17.45352745,4,15.179340349137
-805285,1573795,136.5842133,2672.168213,3,0.187600002,582.2927246,5.27794981,0.539940059,4,44.73199844,9.935092926,-1.830361724,4,9.18924429274818
